Unit #,Unit Description,Department,Area,Model No.,Critical Unit,Serial No.,Install Date,Refrigerant,Filter Size,Tons,Asset Type,Location List,Number of Filters,Weight
689,Pickle Line Shear Operator,Cold Mill,Pickle Line Shear Operator,TCV036AFC30CLTS,FALSE,W12710782,1/1/2018,R410A,24x24,3,Water Source,,1,50oz
229,RT Upper Pulpit,Cold Mill,RT Upper Pulpit,TCV060AFC30CLTS,FALSE,W13119070,5/14/2019,R410A,24x24,3,Package Unit,,1,82 oz
735,CM2 Galv Line Office,CM 2,Galv Line Office,THE36B42SA,FALSE,W1B9610758,7/2/2019,R410A,16X25,3,Split System,,4,
740,Hot Mill Cool Room,Hot Mill,,TCD36B415A,FALSE,W1G7925277,2/13/2019,R410A,24X24,3,Split System,,1,4 Lbs 14OZ
693,CM#2 Annealing Pulpit,CM 2,CM#2 Annealing Pulpit,PCE4A3641A,FALSE,W1L7231542,1/1/2018,R410A,24x24,3,Air to Air,,1,8lbs 3ozs
691,CM#2 Annealing Office,CM 2,CM#2 Annealing Office,PCE4A3641A,FALSE,W1N7345193,1/1/2018,R410A,24x24,3,Air to Air,,1,8lbs 3ozs
034,DOOR 9 BREAKROOM NORTH (systems),Melt Shop,DOOR 9 BREAKROOM NORTH,YEE36B21SB,FALSE,W2C2151237,9/9/2022,R410A,20x20,3,Split System,,1,8 lbs 7 oz
429,Warehouse Restroom,MS Outer Bldgs,Warehouse Restroom,PAC036H1021A,FALSE,WFJM006102,,R22,20X20,3,Package,,1,4LB 4 OZ
780,Process Pulpit 1,CM 2,Galv Line 2,TRUZA0301HA70NA,FALSE,02U003037H1L70,12/28/2020,R410A,WASHABLE,2.5,Mini Split,,0,
522,Plant Manager,Admin / Cafeteria,Plant Manager,PH4GNAB30000--TP,FALSE,0421F46582,,R410A,20X20,2.5,Package,,1,9 LBS
781,Process Pulpit 2,CM 2,Galv Line 2,TRUZA0301HA70NA,FALSE,0YU00119781L76,12/28/2020,R410A,WASHABLE,2.5,Mini Split,,0,
170,Door 46,Shipping,Door 46,GSX13031BC,FALSE,1405156663,,R410A,20X20 12X12,2.5,Air to Air,,0,
